Date,Category,IncidntNum
01/01/2005 12:00:00 AM,VANDALISM,493
01/01/2005 12:00:00 AM,LARCENY/THEFT,2038
01/01/2005 12:00:00 AM,BURGLARY,698
01/01/2005 12:00:00 AM,VEHICLE THEFT,1685
01/01/2005 12:00:00 AM,ARSON,21
01/01/2005 12:00:00 AM,STOLEN PROPERTY,56
02/01/2005 12:00:00 AM,STOLEN PROPERTY,40
02/01/2005 12:00:00 AM,VEHICLE THEFT,1366
02/01/2005 12:00:00 AM,LARCENY/THEFT,1734
02/01/2005 12:00:00 AM,BURGLARY,547
02/01/2005 12:00:00 AM,ARSON,17
02/01/2005 12:00:00 AM,VANDALISM,462
03/01/2005 12:00:00 AM,VANDALISM,585
03/01/2005 12:00:00 AM,LARCENY/THEFT,2035
03/01/2005 12:00:00 AM,ARSON,19
03/01/2005 12:00:00 AM,VEHICLE THEFT,1476
03/01/2005 12:00:00 AM,BURGLARY,654
03/01/2005 12:00:00 AM,STOLEN PROPERTY,46
04/01/2005 12:00:00 AM,STOLEN PROPERTY,41
04/01/2005 12:00:00 AM,ARSON,24
04/01/2005 12:00:00 AM,VANDALISM,581
04/01/2005 12:00:00 AM,BURGLARY,551
04/01/2005 12:00:00 AM,LARCENY/THEFT,1920
04/01/2005 12:00:00 AM,VEHICLE THEFT,1594
05/01/2005 12:00:00 AM,STOLEN PROPERTY,56
05/01/2005 12:00:00 AM,ARSON,13
05/01/2005 12:00:00 AM,BURGLARY,622
05/01/2005 12:00:00 AM,VANDALISM,658
05/01/2005 12:00:00 AM,LARCENY/THEFT,2181
05/01/2005 12:00:00 AM,VEHICLE THEFT,1590
06/01/2005 12:00:00 AM,BURGLARY,586
06/01/2005 12:00:00 AM,VANDALISM,622
06/01/2005 12:00:00 AM,VEHICLE THEFT,1394
06/01/2005 12:00:00 AM,ARSON,23
06/01/2005 12:00:00 AM,LARCENY/THEFT,2253
06/01/2005 12:00:00 AM,STOLEN PROPERTY,40
07/01/2005 12:00:00 AM,STOLEN PROPERTY,50
